location,name,freq,weighting,n_factors,date,ret
per,debt_issuance,monthly,vw_cap,7,2018-04-30,-0.0174821402776775
per,debt_issuance,monthly,vw_cap,7,2018-05-31,0.00623994433597352
per,debt_issuance,monthly,vw_cap,7,2018-06-30,-0.0151623621538591
per,debt_issuance,monthly,vw_cap,7,2018-07-31,0.0125136906147935
per,debt_issuance,monthly,vw_cap,7,2018-08-31,-0.0238152867829971
per,debt_issuance,monthly,vw_cap,7,2018-09-30,0.00304973782556811
per,debt_issuance,monthly,vw_cap,7,2018-10-31,-0.0105226058007516
per,debt_issuance,monthly,vw_cap,7,2018-11-30,0.000228007345912037
per,debt_issuance,monthly,vw_cap,7,2018-12-31,0.00161836517634735
per,debt_issuance,monthly,vw_cap,7,2019-01-31,-0.040704532540947
per,debt_issuance,monthly,vw_cap,7,2019-02-28,-0.0112648139332156
per,debt_issuance,monthly,vw_cap,7,2019-03-31,0.0103700702340703
per,debt_issuance,monthly,vw_cap,7,2019-04-30,-0.0129205779043778
per,debt_issuance,monthly,vw_cap,7,2019-05-31,-0.019232593003734
per,debt_issuance,monthly,vw_cap,7,2019-06-30,-0.00471590394255879
per,debt_issuance,monthly,vw_cap,7,2019-07-31,-0.0114657378586673
per,debt_issuance,monthly,vw_cap,7,2019-08-31,0.0028525191004592
per,debt_issuance,monthly,vw_cap,7,2019-09-30,-0.0309142987474473
per,debt_issuance,monthly,vw_cap,7,2019-10-31,0.00376641780989907
per,debt_issuance,monthly,vw_cap,7,2019-11-30,0.0215942644314454
per,debt_issuance,monthly,vw_cap,7,2019-12-31,-0.00112261471661327
per,debt_issuance,monthly,vw_cap,7,2020-01-31,0.0109443743978775
per,debt_issuance,monthly,vw_cap,7,2020-02-29,0.000174933146224693
per,debt_issuance,monthly,vw_cap,7,2020-03-31,-0.000497418597548058
per,debt_issuance,monthly,vw_cap,7,2020-04-30,0.0043902139269172
per,debt_issuance,monthly,vw_cap,7,2020-05-31,-0.0243458609087545
per,debt_issuance,monthly,vw_cap,7,2020-06-30,-0.026417629839361
per,debt_issuance,monthly,vw_cap,7,2020-07-31,-0.00906243264010929
per,debt_issuance,monthly,vw_cap,7,2020-08-31,-0.0127689543692286
